id,claim,gold_label,predicted_label,is_correct,confidence,contradiction,entailment,neutral,subject,candidate_sentences,page,evidence
1,The Moon is Earth's only natural satellite,SUPPORTS,REFUTES,False,0.9979,0.9979,0.0002,0.0019,Moon,40,Keith Moon,"In addition to his talent as a drummer, Moon developed a reputation for smashing his kit on stage and destroying hotel rooms on tour."
2,The Moon is made of cheese,REFUTES,REFUTES,True,0.9986,0.9986,0.0005,0.0009,Moon,40,Keith Moon,"Regarded as one of the greatest drummers in the history of rock music, he was noted for his unique style of playing and his eccentric, self-destructive behaviour."
3,The Earth is approximately an oblate spheroid,SUPPORTS,SUPPORTS,True,0.636,0.2465,0.636,0.1175,Earth,40,Earth,"Earth is rounded into an ellipsoid with a circumference of about 40,000 kilometres (24,900 miles)."
4,The Earth is a perfect cube,REFUTES,REFUTES,True,0.9964,0.9964,0.0004,0.0032,Earth,40,Earth,"Humanity's current impact on Earth's climate and biosphere is unsustainable, threatening the livelihood of humans and many other forms of life, and causing widespread extinctions."
5,The Eiffel Tower is located in Paris,SUPPORTS,SUPPORTS,True,0.986,0.0007,0.986,0.0133,Eiffel Tower,40,Eiffel Tower (disambiguation),The Eiffel Tower is an iron lattice tower in Paris.
6,The Eiffel Tower is located in London,REFUTES,REFUTES,True,0.9977,0.9977,0.0004,0.0019,Eiffel Tower,37,Eiffel Tower,"The Eiffel Tower (  EYE-fəl; French: Tour Eiffel [tuʁ ɛfɛl] ) is a lattice tower on the Champ de Mars in Paris, France."
7,Rome is the capital city of Italy,SUPPORTS,REFUTES,False,0.9943,0.9943,0.0003,0.0054,Rome,40,Rome Odunze,"Rome Odunze (oh-DOON-zay; born June 3, 2002) is an American professional football wide receiver for the Chicago Bears of the National Football League (NFL)."
8,Milan is the capital city of Italy,REFUTES,SUPPORTS,False,0.9563,0.0031,0.9563,0.0406,Milan,40,Milan,"Milan is the capital and largest city of the region of Lombardy, in northern Italy, and the seat of the Metropolitan City of Milan."
9,Canberra is the capital of Australia,SUPPORTS,SUPPORTS,True,0.9891,0.0008,0.9891,0.0101,Canberra,40,Canberra (disambiguation),Canberra is the capital city of Australia.
10,Sydney is the capital of Australia,REFUTES,REFUTES,True,0.9836,0.9836,0.0004,0.016,Sydney,40,Sydney,"Foreign countries of birth with the greatest representation are mainland China, India, the United Kingdom, Vietnam and the Philippines."
11,Ottawa is the capital of Canada,SUPPORTS,REFUTES,False,0.9987,0.9987,0.0004,0.001,Ottawa,37,Atlético Ottawa,The team was founded in 2020 by Spanish club Atlético Madrid.
12,Toronto is the capital of Canada,REFUTES,REFUTES,True,0.9893,0.9893,0.0003,0.0104,Toronto,40,University of Toronto,"George, is the oldest of the three and comprises several colleges, each with varying autonomy over financial and institutional affairs and significant differences in character and history."
13,Brasilia is the capital of Brazil,SUPPORTS,SUPPORTS,True,0.9878,0.0024,0.9878,0.0097,Brasilia,37,Brasília,"Brasília ( brə-ZIL-ee-ə; Brazilian Portuguese: [bɾaˈziliɐ, bɾaˈziljɐ] ) is the capital city of Brazil and the Federal District."
14,Rio de Janeiro is the capital of Brazil,REFUTES,SUPPORTS,False,0.9913,0.0017,0.9913,0.007,Rio de Janeiro,40,Rio de Janeiro (state),"Its capital and most populous city is the city of Rio de Janeiro, which was the capital of the Portuguese Colony of Brazil from 1763 to 1815, of the following United Kingdom of Portugal, Brazil and the Algarves from 1815 to 1822, and of later independent Brazil as a kingdom and republic from 1822 to 1960."
15,Tokyo is the capital of Japan,SUPPORTS,SUPPORTS,True,0.9796,0.0019,0.9796,0.0185,Tokyo,40,Tokyo,"Tokyo, officially the Tokyo Metropolis, is the capital and most populous city of Japan."
16,Osaka is the capital of Japan,REFUTES,SUPPORTS,False,0.9791,0.0029,0.9791,0.0179,Osaka,40,Osaka Prefecture,"Osaka is the capital and largest city of Osaka Prefecture, and the third-largest city in Japan, with other major cities including Sakai, Higashiōsaka, and Hirakata."
17,Mount Everest is the highest mountain above sea level,SUPPORTS,REFUTES,False,0.9933,0.9933,0.0004,0.0063,Mount Everest,40,1996 Mount Everest disaster,"Journalist Jon Krakauer, on assignment from Outside magazine and on the Adventure Consultants team, published Into Thin Air (1997), which became a bestseller."
18,Mount Everest is located in South America,REFUTES,REFUTES,True,0.9976,0.9976,0.0004,0.0019,Mount Everest,40,Everest base camps,The North Base Camp is accessed by a paved road that branches from China National Highway 318.
19,The Pacific Ocean is the largest ocean on Earth,SUPPORTS,REFUTES,False,0.9962,0.9962,0.0002,0.0036,Pacific Ocean,40,Pacific Ocean Blue,"The album was warmly received critically, and noted for outselling the Beach Boys' contemporary efforts."
20,The Atlantic Ocean is the largest ocean on Earth,REFUTES,REFUTES,True,0.9954,0.9954,0.0002,0.0043,Atlantic Ocean,40,Atlantic Ocean Road,The road is preserved as a cultural heritage site and is classified as a National Tourist Route.
21,The Nile is a river in Africa,SUPPORTS,SUPPORTS,True,0.9919,0.0009,0.9919,0.0071,Nile,40,Nile,The Nile is a major north-flowing river in northeast Africa which empties into the Mediterranean Sea.
22,The Nile flows through Antarctica,REFUTES,REFUTES,True,0.9989,0.9989,0.0005,0.0007,Nile,40,Nile Rodgers,"The co-founder of Chic, he has written, produced, and performed on records that have sold more than 750 million albums and 100 million singles worldwide."
23,The Amazon River is in South America,SUPPORTS,REFUTES,False,0.9949,0.9949,0.0004,0.0047,Amazon River,40,Amazon river dolphin,"Sexual dimorphism is very evident, with males measuring 16% longer and weighing 55% more than females."
24,The Amazon River is in Europe,REFUTES,REFUTES,True,0.9958,0.9958,0.0003,0.0039,Amazon River,40,Amazon basin,The Amazon basin is the part of South America drained by the Amazon River and its tributaries.
25,The Sahara is a desert in Africa,SUPPORTS,REFUTES,False,0.9982,0.9982,0.0003,0.0015,Sahara,40,Sahara Las Vegas,"In 2013, Nazarian began a complete renovation of the resort before reopening it as the SLS Las Vegas on August 23, 2014, as part of SBE's chain of SLS hotels."
26,The Sahara is a rainforest,REFUTES,REFUTES,True,0.9987,0.9987,0.0003,0.001,Sahara,40,Sahara Las Vegas,Bennett's renovation also added a NASCAR-themed attraction that included a restaurant and a roller coaster known as Speed – The Ride.
27,The Great Wall of China is in China,SUPPORTS,SUPPORTS,True,0.9771,0.0016,0.9771,0.0214,Great Wall of China,40,Great Wall of China,The Great Wall of China is a series of fortifications in China.
28,The Great Wall of China is in India,REFUTES,REFUTES,True,0.9969,0.9969,0.0003,0.0028,Great Wall of China,40,Great Wall of China,The Great Wall of China is a series of fortifications in China.
29,The Statue of Liberty is in New York Harbor,SUPPORTS,REFUTES,False,0.992,0.992,0.0004,0.0076,Statue of Liberty,32,Statue of Liberty,"The statue was built in France, shipped overseas in crates, and assembled on the completed pedestal on what was then called Bedloe's Island."
30,The Statue of Liberty is in Los Angeles,REFUTES,REFUTES,True,0.9977,0.9977,0.0007,0.0016,Statue of Liberty,40,David Copperfield (illusionist),"Copperfield has faced multiple allegations of sexual misconduct, including a 2007 federal investigation that was closed without charges and a 2018 accusation regarding an incident in 1988."
31,The Colosseum is located in Rome,SUPPORTS,REFUTES,False,0.9987,0.9987,0.0004,0.0009,Colosseum,33,Pokémon Colosseum,"Set in the desert region of Orre, the player controls Wes, a former member of Team Snagem."
32,The Colosseum is located in Venice,REFUTES,REFUTES,True,0.9984,0.9984,0.0004,0.0012,Colosseum,33,Pokémon Colosseum,"Set in the desert region of Orre, the player controls Wes, a former member of Team Snagem."
33,The Taj Mahal is in India,SUPPORTS,REFUTES,False,0.9982,0.9982,0.0003,0.0015,Taj Mahal,40,Hard Rock Hotel & Casino Atlantic City,"On March 1, 2017, the Seminole Tribe of Florida through its Hard Rock International brand, and the Morris and Jingoli families, announced its purchase of the facility and conversion to the Hard Rock Hotel and Casino brand."
34,The Taj Mahal is in Egypt,REFUTES,REFUTES,True,0.9985,0.9985,0.0003,0.0012,Taj Mahal,40,Taj Mahal Palace Hotel,The hotel was one of the main targets in the 2008 Mumbai attacks.
35,The Pyramids of Giza are in Egypt,SUPPORTS,SUPPORTS,True,0.9857,0.0036,0.9857,0.0108,Pyramids of Giza,40,Giza pyramid complex,"The Giza pyramid complex (also called the Giza necropolis) in Egypt is home to the Great Pyramid, the pyramid of Khafre, and the pyramid of Menkaure, along with their associated pyramid complexes and the Great Sphinx."
36,The Pyramids of Giza are in Greece,REFUTES,REFUTES,True,0.9969,0.9969,0.0003,0.0028,Pyramids of Giza,40,Great Pyramid of Giza,"The Great Pyramid of Giza is the largest of the Egyptian pyramids and the most famous landmark of the Giza pyramid complex in Giza, Egypt."
37,The Great Barrier Reef is in Australia,SUPPORTS,REFUTES,False,0.9885,0.9885,0.0005,0.011,Great Barrier Reef,40,Belize Barrier Reef,"Charles Darwin described it as ""the most remarkable reef in the West Indies"" in 1842."
38,The Great Barrier Reef is in the Mediterranean Sea,REFUTES,REFUTES,True,0.9924,0.9924,0.0007,0.007,Great Barrier Reef,40,Great Barrier Reef,"The reef is located in the Coral Sea, off the coast of Queensland, Australia."
39,The Amazon rainforest is primarily located in South America,SUPPORTS,SUPPORTS,True,0.6112,0.0938,0.6112,0.295,Amazon rainforest,40,Amazon rainforest,"The Amazon rainforest, also called the Amazon jungle, Amazonia, or simply the Amazon, is a moist broadleaf tropical rainforest in the Amazon biome that covers most of the Amazon basin of South America."
40,The Amazon rainforest is primarily located in Europe,REFUTES,REFUTES,True,0.9927,0.9927,0.0002,0.0071,Amazon rainforest,40,Deforestation of the Amazon rainforest,"Cattle ranching in the Brazilian Amazon has been identified as the primary cause of deforestation, accounting for about 80% of all deforestation in the region."
41,Water has the chemical formula H2O,SUPPORTS,SUPPORTS,True,0.9804,0.0046,0.9804,0.015,Water,40,Water,Water is an inorganic compound with the chemical formula H2O.
42,Water has the chemical formula CO2,REFUTES,REFUTES,True,0.9758,0.9758,0.0092,0.015,Water,40,Water,"When finely divided, crystalline ice may precipitate in the form of snow."
43,Carbon dioxide has the chemical formula CO2,SUPPORTS,SUPPORTS,True,0.9843,0.0035,0.9843,0.0122,Carbon dioxide,40,Carbon dioxide,Carbon dioxide is a chemical compound with the chemical formula CO2.
44,Carbon dioxide has the chemical formula H2O,REFUTES,SUPPORTS,False,0.695,0.1341,0.695,0.1709,Carbon dioxide,40,Carbon dioxide,"When carbon dioxide dissolves in water, it forms carbonate and mainly bicarbonate (HCO3–), which causes ocean acidification as atmospheric CO2 levels increase."
45,Oxygen has the chemical symbol O,SUPPORTS,SUPPORTS,True,0.9883,0.0028,0.9883,0.009,Oxygen,40,Oxygen,Oxygen is a chemical element; it has the symbol O and its atomic number is 8.
46,Oxygen has the chemical symbol Au,REFUTES,REFUTES,True,0.9883,0.9883,0.0033,0.0084,Oxygen,40,Oxygen,Oxygen is a chemical element; it has the symbol O and its atomic number is 8.
47,Gold has the chemical symbol Au,SUPPORTS,SUPPORTS,True,0.9868,0.0024,0.9868,0.0108,Gold,40,Gold,Gold is a chemical element; its chemical symbol is Au (from Latin aurum) and atomic number 79.
48,Gold has the chemical symbol Ag,REFUTES,REFUTES,True,0.9793,0.9793,0.0091,0.0116,Gold,40,Gold,Gold is a chemical element; its chemical symbol is Au (from Latin aurum) and atomic number 79.
49,The chemical symbol for sodium is Na,SUPPORTS,SUPPORTS,True,0.9784,0.0052,0.9784,0.0164,chemical symbol for sodium,39,Sodium,Sodium is a chemical element; it has symbol Na (from Neo-Latin natrium) and atomic number 11.
50,The chemical symbol for sodium is S,REFUTES,REFUTES,True,0.9783,0.9783,0.0044,0.0173,chemical symbol for sodium,36,Monowitz concentration camp,"Monowitz held around 12,000 prisoners, the great majority of whom were Jews, in addition to non-Jewish criminals and political prisoners."
51,The chemical symbol for iron is Fe,SUPPORTS,SUPPORTS,True,0.9734,0.0079,0.9734,0.0187,chemical symbol for iron,33,Iron,Iron is a chemical element; it has symbol Fe (from Latin  ferrum) and atomic number 26.
52,The chemical symbol for iron is Ir,REFUTES,REFUTES,True,0.9802,0.9802,0.0043,0.0154,chemical symbol for iron,40,Chemical element,"For example, oxygen gas consists only of atoms of oxygen."
53,The human heart has four chambers,SUPPORTS,SUPPORTS,True,0.984,0.0024,0.984,0.0136,human heart,40,Heart,"In humans, the heart is divided into four chambers: upper left and right atria and lower left and right ventricles."
54,The human heart has two chambers,REFUTES,REFUTES,True,0.989,0.989,0.0032,0.0078,human heart,40,Heart,"In humans, the heart is divided into four chambers: upper left and right atria and lower left and right ventricles."
55,The adult human body typically has 206 bones,SUPPORTS,SUPPORTS,True,0.9784,0.0018,0.9784,0.0198,adult human body typically,40,List of bones of the human skeleton,An adult human skeleton is commonly quoted as consisting of 206 bones.
56,The adult human body typically has 306 bones,REFUTES,SUPPORTS,False,0.9428,0.0243,0.9428,0.0328,adult human body typically,40,List of bones of the human skeleton,An adult human skeleton is commonly quoted as consisting of 206 bones.
57,Photosynthesis uses sunlight to help plants make food,SUPPORTS,REFUTES,False,0.9177,0.9177,0.0032,0.079,Photosynthesis uses sunlight to help,40,Photosynthesis,"In other bacteria, different mechanisms like the reverse Krebs cycle are used to achieve the same end."
58,Photosynthesis occurs only in animals,REFUTES,REFUTES,True,0.9936,0.9936,0.0006,0.0057,Photosynthesis occurs only in animals,40,Food,Humans generally use cooking to prepare food for consumption.
59,The Sun is a star,SUPPORTS,REFUTES,False,0.9951,0.9951,0.0017,0.0032,Sun,40,Sun Wukong,"After rebelling against heaven, he is imprisoned under a mountain by the Buddha."
60,The Sun is a planet,REFUTES,REFUTES,True,0.9968,0.9968,0.0009,0.0022,Sun,40,Sun Tzu,The Han dynasty historian Sima Qian and other traditional Chinese historians placed him as a minister to King Helü of Wu and dated his lifetime to 544–496 BC.
61,Jupiter is the largest planet in the Solar System,SUPPORTS,SUPPORTS,True,0.9772,0.0015,0.9772,0.0214,Jupiter,40,Jupiter (disambiguation),"Jupiter is the largest planet in the Solar System, named after Jupiter (god), king of the gods in ancient Roman mythology."
62,Mercury is the largest planet in the Solar System,REFUTES,REFUTES,True,0.9988,0.9988,0.0005,0.0008,Mercury,40,Freddie Mercury,"Regarded as one of the greatest singers in the history of rock music, he is known for his flamboyant stage persona and four-octave vocal range."
63,Mars is often called the Red Planet,SUPPORTS,REFUTES,False,0.8828,0.8828,0.004,0.1131,Mars,40,Bruno Mars,"Peter Gene Hernandez (born October 8, 1985), known professionally as Bruno Mars, is an American singer-songwriter, record producer and dancer."
