id,claim,gold_label,predicted_label,is_correct,confidence,contradiction,entailment,neutral,subject,candidate_sentences,page,evidence
1,The Moon is Earth's only natural satellite,SUPPORTS,REFUTES,False,0.9979,0.9979,0.0002,0.0019,Moon,40,Keith Moon,"In addition to his talent as a drummer, Moon developed a reputation for smashing his kit on stage and destroying hotel rooms on tour."
2,The Moon is made of cheese,REFUTES,REFUTES,True,0.9977,0.9977,0.0004,0.002,Moon,40,Keith Moon,"In addition to his talent as a drummer, Moon developed a reputation for smashing his kit on stage and destroying hotel rooms on tour."
3,The Earth is approximately an oblate spheroid,SUPPORTS,SUPPORTS,True,0.636,0.2465,0.636,0.1175,Earth,40,Earth,"Earth is rounded into an ellipsoid with a circumference of about 40,000 kilometres (24,900 miles)."
4,The Earth is a perfect cube,REFUTES,REFUTES,True,0.9964,0.9964,0.0004,0.0032,Earth,40,Earth,"Humanity's current impact on Earth's climate and biosphere is unsustainable, threatening the livelihood of humans and many other forms of life, and causing widespread extinctions."
5,The Eiffel Tower is located in Paris,SUPPORTS,SUPPORTS,True,0.986,0.0007,0.986,0.0133,Eiffel Tower,40,Eiffel Tower (disambiguation),The Eiffel Tower is an iron lattice tower in Paris.
6,The Eiffel Tower is located in London,REFUTES,REFUTES,True,0.9977,0.9977,0.0004,0.0019,Eiffel Tower,30,Eiffel Tower,"The Eiffel Tower (  EYE-fəl; French: Tour Eiffel [tuʁ ɛfɛl] ) is a lattice tower on the Champ de Mars in Paris, France."
7,Rome is the capital city of Italy,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Rome,0,,
8,Milan is the capital city of Italy,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Milan,0,,
9,Canberra is the capital of Australia,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Canberra,0,,
10,Sydney is the capital of Australia,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Sydney,0,,
11,Ottawa is the capital of Canada,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Ottawa,0,,
12,Toronto is the capital of Canada,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Toronto,0,,
13,Brasilia is the capital of Brazil,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Brasilia,0,,
14,Rio de Janeiro is the capital of Brazil,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Rio de Janeiro,0,,
15,Tokyo is the capital of Japan,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Tokyo,0,,
16,Osaka is the capital of Japan,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Osaka,0,,
17,Mount Everest is the highest mountain above sea level,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Mount Everest,0,,
18,Mount Everest is located in South America,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Mount Everest,0,,
19,The Pacific Ocean is the largest ocean on Earth,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Pacific Ocean,0,,
20,The Atlantic Ocean is the largest ocean on Earth,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Atlantic Ocean,0,,
21,The Nile is a river in Africa,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Nile,0,,
22,The Nile flows through Antarctica,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Nile,0,,
23,The Amazon River is in South America,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Amazon River,0,,
24,The Amazon River is in Europe,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Amazon River,0,,
25,The Sahara is a desert in Africa,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Sahara,0,,
26,The Sahara is a rainforest,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Sahara,0,,
27,The Great Wall of China is in China,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Great Wall of China,0,,
28,The Great Wall of China is in India,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Great Wall of China,0,,
29,The Statue of Liberty is in New York Harbor,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Statue of Liberty,0,,
30,The Statue of Liberty is in Los Angeles,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Statue of Liberty,0,,
31,The Colosseum is located in Rome,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Colosseum,0,,
32,The Colosseum is located in Venice,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Colosseum,0,,
33,The Taj Mahal is in India,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Taj Mahal,0,,
34,The Taj Mahal is in Egypt,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Taj Mahal,0,,
35,The Pyramids of Giza are in Egypt,SUPPORTS,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Pyramids of Giza,0,,
36,The Pyramids of Giza are in Greece,REFUTES,NOT ENOUGH INFO,False,0.0,0.0,0.0,1.0,Pyramids of Giza,0,,
